,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
63,matlab,77620,Stack Overflow,6.70043,11.715789,Computer Science,blue,54,1.0556149732620321,0.8844919786096257
65,scala,76630,Stack Overflow,-4.0898376,-1.4528558,Computer Science,blue,55,1.0529411764705883,0.8823529411764706
66,performance,75567,Stack Overflow,4.622246700000001,-1.4748107,Computer Science,blue,56,1.0502673796791444,0.8802139037433154
68,excel-vba,74273,Stack Overflow,-1.5871282,-6.4273430000000005,Computer Science,blue,57,1.0475935828877005,0.8780748663101605
69,list,73745,Stack Overflow,-5.2612760000000005,1.584746,Computer Science,blue,58,1.0449197860962567,0.8759358288770054
71,css3,71831,Stack Overflow,-0.056161866,1.2095703000000002,Computer Science,blue,59,1.0422459893048128,0.8737967914438503
72,hibernate,69873,Stack Overflow,1.9225613000000001,3.2219872000000005,Computer Science,blue,60,1.039572192513369,0.8716577540106953
73,swing,69635,Stack Overflow,-9.828444000000001,-1.0505115,Computer Science,blue,61,1.036898395721925,0.8695187165775402
74,linq,68578,Stack Overflow,1.2585187,3.0625124,Computer Science,blue,62,1.0342245989304812,0.8673796791443851
75,qt,64321,Stack Overflow,3.050732,-5.6089115,Computer Science,blue,63,1.0315508021390374,0.8652406417112299
76,function,64164,Stack Overflow,-11.249219,2.4061265,Computer Science,blue,64,1.0288770053475935,0.8631016042780748
77,pandas,63644,Stack Overflow,-5.4412136,-1.3348947,Computer Science,blue,65,1.0262032085561497,0.8609625668449199
78,shell,62330,Stack Overflow,-7.379481,0.048470926,Computer Science,blue,66,1.0235294117647058,0.8588235294117648
79,rest,61935,Stack Overflow,-9.145132,-1.7235676,Computer Science,blue,67,1.020855614973262,0.8566844919786096
81,sqlite,60133,Stack Overflow,0.01867601,0.25504333,Computer Science,blue,68,1.0181818181818183,0.8545454545454545
82,maven,59621,Stack Overflow,0.24914096,-9.388193,Computer Science,blue,69,1.0155080213903744,0.8524064171122996
83,api,59348,Stack Overflow,4.327309,10.586098,Computer Science,blue,70,1.0128342245989306,0.8502673796791445
