,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
56,algorithm,83030,Stack Overflow,165.85866000000001,-37.270695,-10.682792999999998,Computer Science,blue,49,1.0689839572192514,0.8951871657754011
58,facebook,81831,Stack Overflow,-124.97413999999999,-82.3873,-22.394447,Computer Science,blue,50,1.0663101604278076,0.893048128342246
59,postgresql,81640,Stack Overflow,77.39048000000001,6.725552599999999,62.338997,Computer Science,blue,51,1.0636363636363637,0.8909090909090911
61,winforms,78825,Stack Overflow,82.5359,115.57315,-0.18368322,Computer Science,blue,52,1.0609625668449199,0.888770053475936
62,apache,78819,Stack Overflow,37.141525,108.60466000000001,-63.053509999999996,Computer Science,blue,53,1.058288770053476,0.8866310160427808
63,matlab,77620,Stack Overflow,14.321825,70.229225,-158.85535,Computer Science,blue,54,1.0556149732620321,0.8844919786096257
65,scala,76630,Stack Overflow,-78.11649,-31.512093,125.368095,Computer Science,blue,55,1.0529411764705883,0.8823529411764706
66,performance,75567,Stack Overflow,52.08336,-96.5525,-42.35713,Computer Science,blue,56,1.0502673796791444,0.8802139037433154
68,excel-vba,74273,Stack Overflow,0.124002,194.87221,-92.92915,Computer Science,blue,57,1.0475935828877005,0.8780748663101605
69,list,73745,Stack Overflow,-72.32785,111.71375,-37.109787,Computer Science,blue,58,1.0449197860962567,0.8759358288770054
71,css3,71831,Stack Overflow,43.732384,28.829538,-112.15545,Computer Science,blue,59,1.0422459893048128,0.8737967914438503
72,hibernate,69873,Stack Overflow,37.020252,38.64832,28.748446,Computer Science,blue,60,1.039572192513369,0.8716577540106953
73,swing,69635,Stack Overflow,-50.387615000000004,-65.96844499999999,-68.141685,Computer Science,blue,61,1.036898395721925,0.8695187165775402
74,linq,68578,Stack Overflow,-4.537761,-138.23787,136.64264,Computer Science,blue,62,1.0342245989304812,0.8673796791443851
75,qt,64321,Stack Overflow,-78.878845,-30.757507,74.47775,Computer Science,blue,63,1.0315508021390374,0.8652406417112299
76,function,64164,Stack Overflow,-24.772118,-47.207679999999996,-113.11358999999999,Computer Science,blue,64,1.0288770053475935,0.8631016042780748
77,pandas,63644,Stack Overflow,-70.91289499999999,35.621376,-76.45376,Computer Science,blue,65,1.0262032085561497,0.8609625668449199
78,shell,62330,Stack Overflow,-8.5688715,28.452447999999997,53.11838,Computer Science,blue,66,1.0235294117647058,0.8588235294117648
79,rest,61935,Stack Overflow,-162.91838,-79.6118,11.836673,Computer Science,blue,67,1.020855614973262,0.8566844919786096
81,sqlite,60133,Stack Overflow,108.262474,21.257992,46.855034,Computer Science,blue,68,1.0181818181818183,0.8545454545454545
82,maven,59621,Stack Overflow,-86.53423000000001,-78.89699,-131.046,Computer Science,blue,69,1.0155080213903744,0.8524064171122996
83,api,59348,Stack Overflow,66.72299,94.46970999999999,-35.459435,Computer Science,blue,70,1.0128342245989306,0.8502673796791445
